iter	Recall	Logloss
0	0.6102305705	0.6806236848
1	0.6370188475	0.6702398297
2	0.6460439455	0.6615987838
3	0.6482922473	0.6544772913
4	0.6424881207	0.6486475636
5	0.6389163504	0.6429455836
6	0.6341167841	0.6384351537
7	0.6425519023	0.6344207174
8	0.6382625889	0.6310702083
9	0.6370666837	0.6282912854
10	0.6489300635	0.6259463266
11	0.6490416813	0.6237787598
12	0.650492713	0.6219768899
13	0.6524539975	0.620100781
14	0.6578275983	0.6182819585
15	0.6547341901	0.6168360716
16	0.6573651816	0.6154719653
17	0.66066588	0.6140496589
18	0.6592945754	0.6129309325
19	0.6618458398	0.6119104459
20	0.6640622509	0.6108976103
21	0.664859521	0.6098540979
22	0.6654654463	0.6089371516
23	0.6660554262	0.6079361575
24	0.6687980355	0.6068472655
25	0.6684312913	0.6059501918
26	0.6683356188	0.6051609744
27	0.6680167108	0.6044398783
28	0.6692285614	0.6037659105
29	0.668224001	0.6030660917
30	0.6690053258	0.6024752755
31	0.670280958	0.6016541769
32	0.6724495328	0.6007998825
33	0.6730076219	0.600203877
34	0.6740759639	0.599579536
35	0.6744427082	0.5991213172
36	0.6752399783	0.5984656149
37	0.6764518289	0.5978920313
38	0.6777274612	0.5971362047
39	0.6785885129	0.5966275363
40	0.6805657429	0.5960437973
41	0.6798003636	0.5956345004
42	0.6807092515	0.594927054
43	0.681952993	0.5943162512
44	0.6823197372	0.5937562599
45	0.6822400102	0.5934253145
46	0.6824632458	0.5928532781
47	0.6825589183	0.5924894467
48	0.6833561884	0.5919424835
49	0.6845361482	0.5913484534
50	0.6838983321	0.5907167883
51	0.6845999298	0.5902444505
52	0.6844245304	0.589641556
53	0.6841853494	0.589134102
54	0.6845042574	0.5886795326
55	0.6837867143	0.5882431692
56	0.6845042574	0.587809675
57	0.6845839844	0.5873196906
58	0.6841534586	0.5869801218
59	0.6847593839	0.5866087843
60	0.6854131454	0.5862111088
61	0.6863539242	0.5857562162
62	0.6871033581	0.5852819068
63	0.6878209012	0.5847954738
64	0.687693338	0.5841909102
65	0.6880441369	0.5838508352
66	0.6879644099	0.5834174907
67	0.6878846828	0.583017115
68	0.6878368466	0.5827422479
69	0.6880122461	0.5823811131
70	0.6885703352	0.5819464699
71	0.6881557547	0.5816190204
72	0.6902605479	0.5811736283
73	0.6905475651	0.5809123808
74	0.6904518927	0.5805008259
75	0.6906272922	0.5800812037
76	0.6915999617	0.5796468849
77	0.6923812865	0.5793262106
78	0.6920145422	0.5787418693
79	0.6914723985	0.5782869871
80	0.6930669388	0.5777554535
81	0.6948528239	0.5773879503
82	0.6951398412	0.577026012
83	0.6945976975	0.5767051304
84	0.6945976975	0.5764499426
85	0.6953949676	0.5760928429
86	0.6956819849	0.5757566488
87	0.6965908729	0.5753999796
88	0.6967024907	0.5749818059
89	0.697627324	0.5745562425
90	0.6985521574	0.5741150443
91	0.6987435022	0.5736907725
92	0.7000350799	0.5734484331
93	0.6998756259	0.5730821409
94	0.6993813184	0.5727645641
95	0.6992059189	0.57229532
96	0.7010396403	0.5719681702
97	0.7008482954	0.5716113716
98	0.7002742609	0.5714023668
99	0.7025863444	0.5709556993
100	0.7022993271	0.5706702644
101	0.7025385081	0.5703264382
102	0.70280958	0.5699220086
103	0.7020282553	0.5694648714
104	0.7035111777	0.5689284794
105	0.7042446663	0.5685729466
106	0.7046114105	0.5681277335
107	0.7047389738	0.5678221899
108	0.7052173358	0.5674558612
109	0.7048187008	0.5672384058
110	0.7063813503	0.5668832557
111	0.7073380744	0.566473767
112	0.7075613101	0.5661866669
113	0.7083426348	0.5657481712
114	0.7089326147	0.5653152911
115	0.7087093791	0.564903195
116	0.7089485601	0.5646825136
117	0.7085818159	0.5643298922
118	0.70815129	0.5640605727
119	0.7087731607	0.5638108725
120	0.7094428676	0.5634433096
121	0.7099212297	0.5630077854
122	0.7115636062	0.5626946291
123	0.7107822815	0.5623752173
124	0.7121376407	0.5620874683
125	0.7119781867	0.5617016196
126	0.7120260229	0.5612455287
127	0.7125203304	0.5607502427
128	0.7130465287	0.5605146391
129	0.7133973276	0.5600507279
130	0.7134611092	0.5597987695
131	0.7150556495	0.5594403671
132	0.7142264885	0.559132401
133	0.7154383391	0.5586758607
134	0.7145772874	0.5583929472
135	0.7139873075	0.5579626959
136	0.7140032529	0.5576696538
137	0.715709411	0.5572882355
138	0.7172880059	0.5569128656
139	0.7167139714	0.5563793414
140	0.7179098766	0.556085457
141	0.7173517875	0.5557434409
142	0.7175271869	0.5552127179
143	0.7175590777	0.5548133883
144	0.7173517875	0.5543370022
145	0.7175112415	0.5540132598
146	0.7182766209	0.5536541616
147	0.7196638709	0.5533764892
148	0.7199508882	0.5529139296
149	0.7205089773	0.5525616846
150	0.7206205951	0.5523220296
151	0.7208119399	0.5520303068
152	0.7209873394	0.5516375142
153	0.7214178652	0.5513099771
154	0.7215773193	0.5510058471
155	0.7225499888	0.5506535785
156	0.7236183308	0.5502601404
157	0.7235545492	0.5498418946
158	0.7240807475	0.549502137
159	0.7252447619	0.5492542965
160	0.7261058137	0.5488774906
161	0.724575055	0.5485674214
162	0.7256274516	0.5481922428
163	0.7251171987	0.5478793004
164	0.7252128711	0.5476747373
165	0.726472558	0.5473807789
166	0.7267595752	0.5470375218
167	0.7285454603	0.5466352713
168	0.7281468253	0.5464450315
169	0.7284338425	0.5461017283
170	0.7291992219	0.5457867906
171	0.7298210926	0.5454483713
172	0.7310169978	0.5450175036
173	0.7306821443	0.5447173813
174	0.7304110725	0.544428864
175	0.7302675639	0.5442393107
176	0.7306183627	0.5437812703
177	0.7313837421	0.543490213
178	0.7312721242	0.5430743575
179	0.7317983225	0.5427155425
180	0.7334247536	0.5423744519
181	0.7339190611	0.5420528083
182	0.7342858054	0.5417571241
183	0.734030679	0.5413943387
184	0.7343655324	0.5411230869
185	0.7356411647	0.5408620021
186	0.7345568773	0.5404144793
187	0.7349874031	0.5401194732
188	0.7349236215	0.5398370751
189	0.736326817	0.5393237992
190	0.7367573429	0.5389191012
191	0.7365181618	0.5386311686
192	0.7363905986	0.5383948927
193	0.7372357049	0.5380440439
194	0.7375865038	0.5376972448
195	0.7389896993	0.5372106802
196	0.7390056447	0.5367544722
197	0.7393404981	0.5364803752
198	0.7392926619	0.5361981491
199	0.7397391332	0.535770323
200	0.7398985872	0.5354812568
201	0.7400580413	0.5351436389
202	0.7407118028	0.5348843891
203	0.7411104379	0.5345171892
204	0.740520458	0.5342115457
205	0.7414931275	0.5338206278
206	0.7419395988	0.5335554807
207	0.7425614695	0.5332692376
208	0.7424498517	0.5329559445
209	0.7429122684	0.5326616394
210	0.744283573	0.5322688421
211	0.7454156967	0.5319298284
212	0.7458302771	0.5314557702
213	0.7454475875	0.5311088383
214	0.7455432599	0.5307955373
215	0.7447619351	0.5304275548
216	0.7444270817	0.5301757364
217	0.7450170616	0.5298716281
218	0.7453997513	0.5294319889
219	0.746181076	0.5292961433
220	0.7472175272	0.5290708464
221	0.74831776	0.5287199465
222	0.7489236853	0.5284726509
223	0.7491150301	0.5281336293
224	0.7488280129	0.5277922962
225	0.7484612686	0.5273776494
226	0.749545556	0.5271235348
227	0.7494179928	0.5268680225
228	0.7495136652	0.5266885944
229	0.7493382658	0.5264445698
230	0.7494020474	0.5262432523
231	0.7498644641	0.525910543
232	0.7500558089	0.5256938948
233	0.7497209554	0.5254226435
234	0.7506617342	0.5250000862
235	0.7512676595	0.524665858
236	0.7521287113	0.5243977317
237	0.7517779124	0.5240603617
238	0.7525592372	0.5237002431
239	0.7522562745	0.5234847818
240	0.7521446567	0.5231073341
241	0.7532767803	0.5228713472
242	0.753898651	0.5225832617
243	0.7537073062	0.5223458664
244	0.7545364671	0.5220952059
245	0.7545045763	0.5218098311
246	0.7553177919	0.5215363372
247	0.7553975189	0.5212145986
248	0.7559874988	0.5209606514
249	0.7563223523	0.5206107773
250	0.7574066397	0.5202448356
251	0.7574544759	0.5200694685
252	0.7573428581	0.519755547
253	0.7574704213	0.5195419553
254	0.7585547087	0.5191963243
255	0.7585068725	0.5189065062
256	0.7586822719	0.5186220421
257	0.7596071053	0.5182117804
258	0.7607711197	0.5178852478
259	0.7617437893	0.5175979063
260	0.7624932232	0.5172010004
261	0.7621902605	0.5169456464
262	0.7628918583	0.5166950275
263	0.7628121313	0.5165481671
264	0.7634499474	0.5163502844
265	0.7649807061	0.5160221285
266	0.7654590682	0.515745085
267	0.7653315049	0.5153974692
268	0.765889594	0.5151631489
269	0.7665433556	0.5149595259
270	0.7664636285	0.5146803941
271	0.7662722837	0.5144228874
272	0.7675479159	0.5141838048
273	0.7678827694	0.5139557902
274	0.767866824	0.513755479
275	0.7680581688	0.5135090749
276	0.7683132953	0.5132071718
277	0.7689989476	0.5128163971
278	0.7693178557	0.512537354
279	0.7692540741	0.5122539396
280	0.7699875626	0.5120202289
281	0.7699875626	0.511811184
282	0.7698599994	0.5116060187
283	0.7698759448	0.5113365918
284	0.7697643269	0.5110885613
285	0.7701151258	0.5108196766
286	0.770083235	0.5104706051
287	0.7710080684	0.510191663
288	0.7706572695	0.5099476972
289	0.7718691201	0.5096433135
290	0.7718691201	0.5094158344
291	0.7719329017	0.5091367375
292	0.77304908	0.5088214108
293	0.7725388271	0.5085627685
294	0.7724112638	0.508340352
295	0.7733520426	0.5080966213
296	0.7729852983	0.5078703325
297	0.7733520426	0.5075679397
298	0.7735593328	0.5072535738
299	0.7741652582	0.5068176275
300	0.7752814364	0.5064342614
301	0.7758076347	0.5062108238
302	0.7764295054	0.5059118264
303	0.7776254106	0.5056071704
304	0.7776891922	0.5054417457
305	0.7786140256	0.5050572271
306	0.7791083331	0.5047822352
307	0.7804158561	0.5044434432
308	0.7803042383	0.5042645063
309	0.7800331664	0.504036374
310	0.7800810026	0.5037821868
311	0.7797461492	0.5034585841
312	0.7804796377	0.5032558028
313	0.7807826004	0.5029700987
314	0.7806390917	0.5027873627
315	0.7805274739	0.5025154091
316	0.7810536722	0.5022244656
317	0.7816914883	0.5019141071
318	0.7816436521	0.5017235538
319	0.7813087987	0.5014549847
320	0.7809101636	0.5012429936
321	0.7818190516	0.5009185599
322	0.7830787384	0.5004577716
323	0.7835730459	0.5001747858
324	0.7841789712	0.4999608241
325	0.7843065344	0.4996079107
326	0.7852313678	0.4993749059
327	0.7865707816	0.4990810791
328	0.786188092	0.4989273624
329	0.7863634914	0.498703125
330	0.786586727	0.4983591514
331	0.7874477788	0.498092429
332	0.7875275058	0.4977282834
333	0.7884523392	0.4974581874
334	0.7887393564	0.4972511074
335	0.7886755748	0.4970092573
336	0.7887712472	0.4967417897
337	0.7886596294	0.4965436602
338	0.7893612272	0.4962628829
339	0.7895844628	0.4960467162
340	0.7895366266	0.495692456
341	0.7899033709	0.495465468
342	0.7913065663	0.4952734173
343	0.7919124916	0.4948531807
344	0.7924546353	0.494592156
345	0.7932837963	0.4942742065
346	0.7943202475	0.4939460119
347	0.7947667188	0.4937639386
348	0.7951812992	0.4935505586
349	0.7957553337	0.4932735687
350	0.7955480435	0.4929848466
351	0.7964569315	0.4927822534
352	0.7956277705	0.492544275
353	0.7957553337	0.4923444813
354	0.7965844947	0.4920001954
355	0.7968236757	0.4917166161
356	0.7960104602	0.4915102942
357	0.7967280033	0.4912613565
358	0.7974455464	0.49103228
359	0.7972860924	0.4906403143
360	0.7973179832	0.4904476718
361	0.7971585292	0.4901280679
362	0.7973179832	0.4898156305
363	0.7973179832	0.4896652399
364	0.7987849603	0.4893480308
365	0.7991198138	0.489072369
366	0.7988806327	0.488872088
367	0.7989444143	0.4885715907
368	0.7996938483	0.4883332474
369	0.7993749402	0.4881024884
370	0.7995981758	0.4879392229
371	0.799566285	0.4876800616
372	0.8002519374	0.4874150861
373	0.8010970437	0.4871248335
374	0.8005070638	0.4867718591
375	0.8010651529	0.4865011748
376	0.8014956788	0.4862318105
377	0.8014797334	0.4859506237
378	0.8020856587	0.4857624534
379	0.8021334949	0.4855196569
380	0.8027234748	0.4852944629
381	0.8035685812	0.4850791903
382	0.8036323628	0.484925984
383	0.803600472	0.4846390949
384	0.8038237076	0.4843387955
385	0.803839653	0.4840354077
386	0.8049239404	0.4837479608
387	0.8052428485	0.4834381149
388	0.8063590267	0.4831638741
389	0.8064865899	0.4828350962
390	0.8066300985	0.4825408566
391	0.8063749721	0.4822916335
392	0.8073316963	0.482067309
393	0.8075868227	0.4819112423
394	0.8077143859	0.4817040093
395	0.8079376216	0.4814597659
396	0.8083043659	0.4812697268
397	0.8077303313	0.4809081312
398	0.8080492394	0.4807013731
399	0.8086870555	0.4805002398
400	0.8085276015	0.4802435038
401	0.8093727078	0.4797605347
402	0.8099148515	0.4796212708
403	0.810409159	0.4793357211
404	0.8101540326	0.4791843423
405	0.8104251044	0.4789098888
406	0.8107599579	0.4786538015
407	0.8115891189	0.4783500554
408	0.8121950442	0.4781487563
409	0.8115891189	0.4778196177
410	0.8122109896	0.4776405217
411	0.8128009695	0.4773073892
412	0.8127850241	0.4771036145
413	0.8133271678	0.4768610148
414	0.8137098574	0.4765899285
415	0.8135663488	0.4763180985
416	0.8148738719	0.4760312829
417	0.8151289983	0.4758250934
418	0.815671142	0.475564479
419	0.8161654495	0.4753484429
420	0.8163249035	0.475110586
421	0.817568645	0.4749124326
422	0.8175526996	0.4746855042
423	0.817728099	0.4744843875
424	0.817728099	0.4742166473
425	0.8177440444	0.4740459509
426	0.8180151162	0.4738559071
427	0.8175845904	0.4736782907
428	0.8187326594	0.4733115386
429	0.8195777657	0.4730638221
430	0.8203112543	0.4727451785
431	0.8209012342	0.4725025858
432	0.8207258347	0.4722503226
433	0.8207258347	0.4720580974
434	0.820933125	0.4718679768
435	0.8206779985	0.4716593315
436	0.8206142169	0.4714436344
437	0.8207896164	0.4712289341
438	0.8203112543	0.4709585199
439	0.8206142169	0.4708582621
440	0.8208374526	0.4706667387
441	0.8212360876	0.4704290074
442	0.8210766336	0.4702428704
443	0.8212679784	0.4700668808
444	0.8213955417	0.4699089416
445	0.8212679784	0.4696879483
446	0.8214593233	0.4695199589
447	0.8220333578	0.4692206365
448	0.8222884842	0.4690256695
449	0.8225755015	0.4688107856
450	0.8227190101	0.468530656
451	0.8227668463	0.4683647508
452	0.8224319929	0.4682627448
453	0.8225117199	0.4679415177
454	0.8223682112	0.4677169952
455	0.8229263003	0.467455645
456	0.823468444	0.4672274449
457	0.8235162803	0.4669961619
458	0.8241222056	0.4667988638
459	0.8242497688	0.4665349693
460	0.8244889498	0.4662076139
461	0.8246005677	0.465945915
462	0.8254616194	0.4657250802
463	0.8256529643	0.4655198071
464	0.8268488695	0.4653021382
465	0.8267053608	0.4650651695
466	0.8261791625	0.4648573293
