iter	Passed	Remaining
403	9752	2317
404	9775	2293
405	9798	2268
406	9822	2244
407	9845	2220
408	9869	2195
409	9891	2171
410	9910	2146
411	9938	2122
412	9960	2098
413	9981	2073
414	10003	2048
415	10025	2024
416	10051	2000
417	10073	1976
418	10094	1951
419	10115	1926
420	10143	1903
421	10166	1879
422	10188	1854
423	10209	1830
424	10232	1805
425	10259	1782
426	10283	1758
427	10308	1734
428	10332	1710
429	10356	1685
430	10377	1661
431	10403	1637
432	10424	1612
433	10445	1588
434	10469	1564
435	10488	1539
436	10511	1515
437	10533	1490
438	10556	1466
439	10581	1442
440	10601	1418
441	10621	1393
442	10644	1369
443	10666	1345
444	10687	1320
445	10714	1297
446	10734	1272
447	10755	1248
448	10777	1224
449	10800	1200
450	10822	1175
451	10843	1151
452	10866	1127
453	10888	1103
454	10911	1079
455	10933	1054
456	10953	1030
457	10976	1006
458	11003	982
459	11024	958
460	11046	934
461	11067	910
462	11090	886
463	11114	862
464	11135	838
465	11160	814
466	11180	790
467	11199	765
468	11223	741
469	11245	717
470	11288	695
471	11314	671
472	11336	647
473	11364	623
474	11393	599
475	11418	575
476	11443	551
477	11465	527
478	11488	503
479	11515	479
480	11538	455
481	11563	431
482	11589	407
483	11615	383
484	11637	359
485	11662	335
486	11685	311
487	11711	287
488	11735	263
489	11759	239
490	11781	215
491	11803	191
492	11829	167
493	11856	144
494	11878	119
495	11899	95
496	11925	71
497	11947	47
498	11973	23
499	11997	0
