iter	Passed	Remaining
0	32	16312
1	65	16382
2	106	17597
3	131	16367
4	154	15295
5	177	14587
6	213	15011
7	230	14186
8	254	13906
9	276	13531
10	300	13374
11	324	13194
12	344	12896
13	362	12591
14	383	12399
15	410	12414
16	429	12207
17	453	12137
18	471	11944
19	490	11783
20	511	11661
21	538	11694
22	558	11583
23	577	11448
24	598	11364
25	620	11316
26	641	11234
27	666	11228
28	689	11191
29	712	11161
30	734	11113
31	754	11035
32	774	10955
33	796	10920
34	819	10891
35	847	10929
36	867	10861
37	887	10790
38	909	10750
39	933	10731
40	953	10679
41	973	10620
42	1002	10651
43	1027	10649
44	1048	10605
45	1069	10555
46	1091	10520
47	1112	10479
48	1137	10471
49	1159	10438
50	1180	10391
51	1200	10343
52	1220	10290
53	1242	10261
54	1262	10213
55	1289	10225
56	1311	10189
57	1333	10163
58	1360	10169
59	1380	10121
60	1399	10070
61	1420	10033
62	1446	10034
63	1466	9988
64	1487	9954
65	1507	9911
66	1527	9871
67	1547	9832
68	1572	9819
69	1596	9804
70	1614	9757
71	1637	9732
72	1664	9735
73	1687	9712
74	1709	9685
75	1733	9669
76	1753	9631
77	1776	9611
78	1795	9567
79	1816	9538
80	1842	9528
81	1863	9499
82	1891	9503
83	1913	9476
84	1938	9462
85	1957	9424
86	1984	9422
87	2015	9437
88	2049	9465
89	2091	9529
90	2130	9577
91	2167	9614
92	2209	9668
93	2240	9677
94	2260	9635
95	2285	9620
96	2305	9579
97	2338	9591
98	2363	9574
99	2385	9540
100	2407	9510
101	2428	9474
102	2449	9439
103	2472	9415
104	2494	9382
105	2517	9356
106	2536	9317
107	2556	9280
108	2580	9256
109	2604	9233
110	2633	9230
111	2660	9215
112	2688	9208
113	2728	9237
114	2763	9253
115	2805	9287
116	2833	9276
117	2865	9276
118	2889	9251
119	2923	9259
120	2954	9254
121	2983	9244
122	3006	9213
123	3029	9187
124	3049	9147
125	3070	9112
126	3093	9086
127	3117	9061
128	3142	9038
129	3162	9002
130	3183	8968
131	3205	8936
132	3230	8913
133	3250	8879
134	3273	8850
135	3293	8814
136	3314	8781
137	3338	8758
138	3362	8731
139	3384	8703
140	3407	8674
141	3426	8638
142	3449	8610
143	3472	8584
144	3495	8556
145	3515	8523
146	3540	8501
147	3560	8468
148	3585	8445
149	3606	8414
150	3630	8391
151	3655	8368
152	3676	8337
153	3702	8319
154	3724	8289
155	3744	8256
156	3771	8238
157	3790	8205
158	3810	8171
159	3830	8138
160	3855	8118
161	3878	8091
162	3900	8064
163	3921	8033
164	3941	8001
165	3964	7977
166	3986	7948
167	4006	7917
168	4027	7888
169	4050	7863
170	4074	7840
171	4095	7810
172	4117	7782
173	4139	7756
174	4159	7725
175	4183	7701
176	4203	7670
177	4222	7638
178	4242	7607
179	4265	7582
180	4291	7563
181	4311	7533
182	4331	7502
183	4351	7473
184	4370	7441
185	4400	7428
186	4420	7398
187	4446	7378
188	4466	7350
189	4486	7320
190	4516	7306
191	4537	7279
192	4559	7253
193	4586	7234
194	4608	7208
195	4630	7182
196	4651	7154
197	4675	7131
198	4696	7103
199	4719	7079
200	4746	7060
201	4766	7031
202	4785	7001
203	4809	6978
204	4831	6952
205	4852	6924
206	4872	6897
207	4897	6875
208	4925	6857
209	4946	6830
210	4966	6801
211	4985	6772
212	5008	6749
213	5031	6724
214	5051	6696
215	5075	6673
216	5096	6646
217	5117	6619
218	5141	6596
219	5161	6569
220	5187	6549
221	5209	6523
222	5232	6499
223	5252	6472
224	5273	6445
225	5294	6418
226	5314	6391
227	5342	6373
228	5362	6345
229	5382	6318
230	5403	6292
231	5425	6267
232	5449	6244
233	5470	6218
234	5492	6193
235	5512	6166
236	5533	6140
237	5555	6116
238	5576	6089
239	5596	6062
240	5621	6041
241	5646	6019
242	5669	5995
243	5692	5972
244	5712	5946
245	5735	5921
246	5759	5899
247	5785	5879
248	5806	5853
249	5826	5826
250	5848	5802
251	5914	5820
252	5968	5826
253	6027	5837
254	6072	5834
255	6093	5808
256	6118	5785
257	6138	5757
258	6157	5729
259	6185	5710
260	6209	5685
261	6232	5661
262	6256	5637
263	6281	5614
264	6301	5587
265	6321	5560
266	6341	5534
267	6364	5509
268	6388	5485
269	6414	5464
270	6434	5437
271	6454	5410
272	6480	5388
273	6501	5362
274	6521	5336
275	6544	5311
276	6567	5286
277	6587	5260
278	6615	5240
279	6636	5214
280	6658	5189
281	6679	5163
282	6705	5142
283	6730	5118
284	6750	5092
285	6771	5066
286	6792	5041
287	6815	5016
288	6836	4991
289	6862	4969
290	6883	4943
291	6906	4919
292	6928	4894
293	6947	4868
294	6967	4841
295	6995	4821
296	7018	4797
297	7042	4773
298	7063	4748
299	7086	4724
300	7107	4699
301	7129	4674
302	7155	4652
303	7177	4627
304	7198	4602
305	7218	4576
306	7243	4553
307	7272	4533
308	7298	4511
309	7327	4490
310	7348	4466
311	7373	4442
312	7393	4417
313	7426	4399
314	7479	4392
315	7517	4377
316	7546	4356
317	7569	4332
318	7609	4317
319	7648	4302
320	7683	4284
321	7716	4265
322	7762	4253
323	7804	4239
324	7831	4217
325	7861	4196
326	7890	4174
327	7921	4154
328	7948	4131
329	7974	4108
330	8000	4084
331	8025	4061
332	8052	4038
333	8077	4014
334	8100	3989
335	8128	3967
336	8151	3942
337	8176	3918
338	8199	3894
339	8221	3869
340	8255	3849
341	8285	3827
342	8311	3804
343	8334	3779
344	8361	3756
345	8391	3735
346	8419	3712
347	8445	3688
348	8471	3665
349	8505	3645
350	8528	3620
351	8558	3598
352	8585	3575
353	8613	3552
354	8638	3528
355	8667	3506
356	8697	3483
357	8719	3458
358	8746	3435
359	8772	3411
360	8798	3387
361	8820	3362
362	8841	3336
363	8861	3310
364	8880	3284
365	8906	3260
366	8927	3235
367	8953	3211
368	8974	3186
369	8999	3161
370	9019	3136
371	9040	3110
372	9060	3084
373	9081	3059
374	9107	3035
375	9128	3010
376	9153	2986
377	9173	2960
378	9193	2935
379	9217	2910
380	9237	2885
381	9258	2860
382	9279	2834
383	9306	2811
384	9327	2786
385	9348	2761
386	9369	2735
387	9389	2710
388	9414	2686
389	9439	2662
390	9464	2638
391	9484	2613
392	9505	2588
393	9528	2563
394	9549	2538
395	9569	2513
396	9595	2489
397	9616	2464
398	9639	2440
399	9665	2416
400	9685	2391
401	9706	2366
402	9729	2341
403	9752	2317
404	9771	2292
405	9793	2267
406	9816	2243
407	9839	2218
408	9862	2194
409	9887	2170
410	9906	2145
411	9930	2121
412	9950	2096
413	9973	2071
414	9995	2047
415	10015	2022
416	10035	1997
417	10060	1973
418	10083	1949
419	10103	1924
420	10127	1900
421	10151	1876
422	10176	1852
423	10196	1827
424	10217	1803
425	10244	1779
426	10265	1755
427	10286	1730
428	10309	1706
429	10329	1681
430	10350	1657
431	10387	1635
432	10412	1611
433	10433	1586
434	10452	1561
435	10472	1537
436	10492	1512
437	10515	1488
438	10538	1464
439	10556	1439
440	10579	1415
441	10600	1390
442	10622	1366
443	10644	1342
444	10667	1318
445	10687	1294
446	10710	1269
447	10735	1246
448	10754	1221
449	10777	1197
450	10798	1173
451	10826	1149
452	10847	1125
453	10867	1101
454	10889	1076
455	10910	1052
456	10931	1028
457	10957	1004
458	10980	980
459	11000	956
460	11025	932
461	11050	908
462	11070	884
463	11093	860
464	11117	836
465	11139	812
466	11162	788
467	11182	764
468	11204	740
469	11226	716
470	11248	692
471	11276	668
472	11297	644
473	11318	620
474	11340	596
475	11359	572
476	11383	548
477	11404	524
478	11427	500
479	11448	477
480	11471	453
481	11494	429
482	11514	405
483	11539	381
484	11563	357
485	11589	333
486	11610	309
487	11636	286
488	11658	262
489	11686	238
490	11712	214
491	11739	190
492	11761	166
493	11788	143
494	11816	119
495	11839	95
496	11865	71
497	11892	47
498	11915	23
499	11939	0
