iter	Passed	Remaining
0	46	23244
1	73	18361
2	107	17745
3	138	17123
4	171	16935
5	215	17717
6	252	17817
7	283	17457
8	321	17520
9	356	17478
10	393	17489
11	420	17104
12	459	17203
13	484	16830
14	519	16787
15	550	16664
16	579	16462
17	602	16140
18	631	15999
19	661	15884
20	690	15751
21	716	15561
22	740	15353
23	764	15169
24	795	15107
25	830	15138
26	853	14951
27	877	14788
28	899	14605
29	922	14456
30	943	14275
31	970	14199
32	992	14045
33	1013	13889
34	1042	13848
35	1069	13786
36	1090	13645
37	1110	13506
38	1138	13453
39	1158	13317
40	1186	13280
41	1208	13181
42	1235	13127
43	1256	13024
44	1287	13017
45	1308	12912
46	1331	12833
47	1356	12771
48	1381	12710
49	1401	12613
50	1424	12538
51	1445	12455
52	1468	12386
53	1489	12302
54	1509	12216
55	1530	12134
56	1561	12133
57	1586	12086
58	1610	12036
59	1629	11952
60	1655	11917
61	1680	11873
62	1698	11784
63	1724	11750
64	1744	11673
65	1765	11611
66	1793	11588
67	1823	11581
68	1842	11508
69	1866	11463
70	1890	11420
71	1908	11346
72	1928	11283
73	1951	11234
74	1971	11173
75	1998	11150
76	2022	11112
77	2042	11048
78	2061	10986
79	2089	10970
80	2114	10938
81	2136	10892
82	2156	10836
83	2177	10783
84	2203	10757
85	2222	10700
86	2242	10644
87	2266	10612
88	2286	10560
89	2312	10536
90	2338	10509
91	2365	10492
92	2392	10472
93	2419	10451
94	2453	10460
95	2479	10432
96	2506	10412
97	2529	10374
98	2551	10333
99	2570	10282
100	2600	10272
101	2623	10234
102	2648	10207
103	2669	10163
104	2687	10111
105	2708	10067
106	2730	10028
107	2749	9980
108	2768	9931
109	2795	9910
110	2819	9882
111	2846	9861
112	2867	9819
113	2887	9777
114	2909	9741
115	2934	9715
116	2959	9689
117	2978	9642
118	2999	9604
119	3020	9565
120	3044	9535
121	3064	9493
122	3093	9481
123	3112	9437
124	3131	9395
125	3159	9377
126	3178	9334
127	3200	9302
128	3225	9275
129	3271	9312
130	3294	9279
131	3320	9256
132	3369	9298
133	3401	9290
134	3432	9280
135	3459	9258
136	3491	9251
137	3518	9229
138	3545	9208
139	3573	9188
140	3598	9162
141	3623	9134
142	3643	9096
143	3666	9065
144	3686	9026
145	3706	8986
146	3735	8969
147	3757	8937
148	3784	8914
149	3804	8878
150	3824	8840
151	3845	8804
152	3868	8773
153	3890	8740
154	3910	8704
155	3934	8677
156	3956	8644
157	3980	8616
158	4001	8581
159	4020	8544
160	4039	8506
161	4060	8471
162	4084	8444
163	4106	8413
164	4129	8384
165	4149	8349
166	4169	8313
167	4192	8285
168	4216	8257
169	4235	8222
170	4256	8189
171	4280	8163
172	4300	8128
173	4320	8094
174	4340	8061
175	4364	8035
176	4384	8001
177	4408	7974
178	4428	7942
179	4449	7910
180	4469	7876
181	4492	7849
182	4515	7822
183	4536	7791
184	4560	7765
185	4580	7732
186	4604	7706
187	4625	7676
188	4645	7644
189	4664	7610
190	4683	7576
191	4708	7553
192	4728	7521
193	4747	7488
194	4773	7465
195	4793	7435
196	4815	7407
197	4839	7381
198	4862	7355
199	4883	7325
200	4904	7295
201	4928	7270
202	4949	7240
203	4970	7211
204	4992	7184
205	5012	7154
206	5039	7133
207	5058	7101
208	5078	7070
209	5097	7039
210	5118	7011
211	5142	6986
212	5162	6956
213	5183	6927
214	5203	6898
215	5223	6867
216	5244	6839
217	5264	6810
218	5292	6790
219	5311	6759
220	5334	6734
221	5356	6707
222	5376	6678
223	5398	6651
224	5419	6623
225	5448	6605
226	5468	6577
227	5488	6547
228	5506	6516
229	5525	6486
230	5548	6461
231	5571	6435
232	5596	6413
233	5618	6386
234	5637	6357
235	5661	6332
236	5682	6305
237	5703	6278
238	5722	6249
239	5750	6229
240	5770	6201
241	5799	6183
242	5821	6156
243	5842	6129
244	5864	6103
245	5889	6080
246	5909	6053
247	5930	6026
248	5950	5998
249	5974	5974
250	5996	5948
251	6016	5920
252	6041	5897
253	6066	5875
254	6128	5887
255	6194	5904
256	6241	5901
257	6285	5895
258	6310	5872
259	6331	5844
260	6351	5816
261	6382	5797
262	6403	5770
263	6425	5744
264	6445	5716
265	6465	5687
266	6488	5662
267	6510	5635
268	6531	5609
269	6552	5581
270	6576	5557
271	6598	5531
272	6619	5504
273	6640	5476
274	6666	5454
275	6691	5430
276	6712	5403
277	6734	5377
278	6755	5351
279	6775	5323
280	6796	5297
281	6826	5277
282	6846	5249
283	6865	5221
284	6886	5194
285	6910	5170
286	6930	5143
287	6950	5115
288	6973	5091
289	6992	5063
290	7017	5039
291	7038	5013
292	7057	4986
293	7080	4961
294	7103	4936
295	7126	4911
296	7149	4886
297	7170	4860
298	7188	4832
299	7212	4808
300	7233	4782
301	7255	4757
302	7276	4730
303	7297	4704
304	7320	4680
305	7341	4654
306	7363	4629
307	7386	4604
308	7412	4581
309	7434	4556
310	7454	4530
311	7473	4503
312	7495	4477
313	7516	4452
314	7539	4427
315	7565	4405
316	7588	4380
317	7609	4355
318	7633	4331
319	7655	4305
320	7676	4280
321	7697	4255
322	7719	4230
323	7743	4206
324	7765	4181
325	7784	4154
326	7803	4128
327	7823	4102
328	7848	4079
329	7870	4054
330	7893	4030
331	7914	4004
332	7934	3979
333	7960	3956
334	7980	3930
335	8003	3906
336	8025	3881
337	8048	3857
338	8072	3834
339	8093	3808
340	8113	3783
341	8133	3757
342	8158	3734
343	8179	3709
344	8199	3683
345	8221	3659
346	8243	3634
347	8265	3610
348	8288	3586
349	8310	3561
350	8329	3535
351	8349	3510
352	8376	3488
353	8397	3463
354	8419	3438
355	8438	3413
356	8461	3389
357	8484	3365
358	8505	3340
359	8525	3315
360	8545	3290
361	8563	3264
362	8587	3240
363	8611	3217
364	8633	3193
365	8655	3168
366	8676	3144
367	8702	3121
368	8722	3096
369	8748	3073
370	8769	3049
371	8789	3024
372	8813	3000
373	8836	2976
374	8856	2952
375	8882	2929
376	8909	2906
377	8930	2882
378	8952	2858
379	8971	2833
380	8991	2808
381	9010	2783
382	9035	2760
383	9056	2735
384	9078	2711
385	9102	2688
386	9128	2665
387	9147	2640
388	9168	2616
389	9192	2592
390	9214	2568
391	9235	2544
392	9253	2519
393	9274	2495
394	9293	2470
395	9316	2446
396	9339	2423
397	9364	2399
398	9386	2376
399	9406	2351
400	9427	2327
401	9449	2303
402	9471	2279
403	9493	2255
404	9514	2231
405	9534	2207
406	9556	2183
407	9579	2160
408	9599	2135
409	9623	2112
410	9650	2089
411	9671	2065
412	9692	2041
413	9713	2017
414	9733	1993
415	9759	1970
416	9780	1946
417	9799	1922
418	9819	1898
419	9841	1874
420	9865	1851
421	9884	1827
422	9910	1803
423	9930	1780
424	9951	1756
425	9977	1733
426	9997	1709
427	10016	1684
428	10038	1661
429	10059	1637
430	10082	1614
431	10104	1590
432	10126	1566
433	10153	1544
434	10176	1520
435	10197	1496
436	10217	1472
437	10238	1449
438	10262	1425
439	10285	1402
440	10306	1378
441	10325	1354
442	10344	1331
443	10363	1307
444	10387	1283
445	10413	1260
446	10436	1237
447	10455	1213
448	10475	1189
449	10502	1166
450	10522	1143
451	10540	1119
452	10567	1096
453	10592	1073
454	10613	1049
455	10634	1026
456	10655	1002
457	10674	978
458	10704	956
459	10724	932
460	10745	909
461	10765	885
462	10786	861
463	10807	838
464	10829	815
465	10852	791
466	10871	768
467	10894	744
468	10920	721
469	10940	698
470	10963	675
471	10983	651
472	11003	628
473	11027	604
474	11052	581
475	11071	558
476	11091	534
477	11113	511
478	11137	488
479	11158	464
480	11181	441
481	11203	418
482	11227	395
483	11247	371
484	11266	348
485	11284	325
486	11305	301
487	11327	278
488	11350	255
489	11374	232
490	11398	208
491	11428	185
492	11454	162
493	11475	139
494	11499	116
495	11524	92
496	11548	69
497	11568	46
498	11590	23
499	11609	0
