iter	Recall	Logloss
0	0.6455439861	0.6805453297
1	0.6290880679	0.6693627949
2	0.6371087334	0.6604746718
3	0.6357214613	0.6531354625
4	0.633313667	0.6468748337
5	0.6363752332	0.641590767
6	0.6408240716	0.6370797253
7	0.6445394097	0.6332269962
8	0.6438696921	0.6302018733
9	0.6463891059	0.6273663909
10	0.6477125955	0.6248054996
11	0.6479836716	0.6224242358
12	0.6477285411	0.6206250215
13	0.6505509225	0.6188339252
14	0.6498333679	0.6173557219
15	0.6537400539	0.6158410897
16	0.6593688709	0.6145206123
17	0.6617128825	0.6133463989
18	0.6626058393	0.6122391399
19	0.6612982954	0.611244801
20	0.6640090571	0.6099938863
21	0.6653006554	0.6089649864
22	0.6664646883	0.6080443672
23	0.6662892861	0.6071776194
24	0.6683462759	0.6063850304
25	0.6671344059	0.6056608218
26	0.6686492434	0.6049217808
27	0.6669111667	0.6042797448
28	0.6679635801	0.6034732672
29	0.6689841022	0.6025827541
30	0.6701162438	0.6020649449
31	0.6719021574	0.6014475125
32	0.6729386252	0.6007445048
33	0.6743577887	0.6000579024
34	0.6736402341	0.5993746413
35	0.6729705165	0.5987832486
36	0.6733053753	0.5982586457
37	0.6741345495	0.5975008544
38	0.6747404844	0.5967337904
39	0.6757928978	0.5960601677
40	0.6761118109	0.5956302801
41	0.6765901807	0.5950579454
42	0.6766380176	0.5944816888
43	0.6779933985	0.5939142505
44	0.6784239312	0.5932715855
45	0.6790617575	0.5928574154
46	0.6794763446	0.5924853977
47	0.6791574315	0.5920005029
48	0.6803533558	0.5916222288
49	0.6821233237	0.591164796
50	0.6829206066	0.5906154363
51	0.683877346	0.5900679224
52	0.6838454547	0.5894436039
53	0.6838135634	0.5891205462
54	0.6846746289	0.5886711312
55	0.6852646182	0.5882685688
56	0.6853762378	0.5878129425
57	0.6846267919	0.5873802233
58	0.6850732703	0.586763693
59	0.68555164	0.5863540611
60	0.6859821728	0.5859831736
61	0.6871143144	0.5856683437
62	0.6873375536	0.5853610789
63	0.6885334779	0.5850196491
64	0.687784032	0.5845303937
65	0.6888683367	0.5841452147
66	0.6897453479	0.5837466575
67	0.6905266851	0.5833370998
68	0.6901918263	0.5830787957
69	0.6900961523	0.5826805373
70	0.6910050548	0.5823488208
71	0.6919777399	0.5820329294
72	0.6925677292	0.5816449556
73	0.6912442396	0.5811528732
74	0.6914196419	0.5807613674
75	0.6917226093	0.580319782
76	0.6933171751	0.5799899746
77	0.693508523	0.5796078052
78	0.6936839252	0.579128763
79	0.6929982619	0.5786412495
80	0.6924880009	0.5782543302
81	0.6937795991	0.5779882508
82	0.6946566103	0.5774314394
83	0.6950711974	0.5770986101
84	0.695645241	0.576728898
85	0.6957090236	0.5761965567
86	0.6963149586	0.5756868105
87	0.6962830673	0.5753041054
88	0.6971122415	0.5750528001
89	0.6985632963	0.5746282218
90	0.6988024811	0.574222171
91	0.6993127422	0.5738452364
92	0.6989141007	0.573584517
93	0.6985632963	0.5732491984
94	0.6988981551	0.5729272468
95	0.6993924705	0.5726056838
96	0.7005724491	0.5722052839
97	0.7003970469	0.5716713816
98	0.7020235039	0.5710466897
99	0.7020394496	0.57064955
100	0.7022626888	0.5702946795
101	0.7029164607	0.5699554522
102	0.7030121346	0.5696248055
103	0.7037456349	0.5693098332
104	0.7036977979	0.5688926453
105	0.7038732001	0.5685441495
106	0.7045907547	0.5681893894
107	0.7047342656	0.5678450713
108	0.7052445267	0.5673974386
109	0.7061215378	0.5671125844
110	0.7051966897	0.5666622614
111	0.7055953311	0.5662193947
112	0.7071101685	0.5657612196
113	0.7073015164	0.5655060581
114	0.7069826033	0.5651963726
115	0.7072058425	0.5649752989
116	0.7077639405	0.5646370105
117	0.7082742015	0.5641834723
118	0.7104268652	0.56354934
119	0.7107138871	0.5631629725
120	0.7117184635	0.5628022991
121	0.7116865722	0.562394756
122	0.7117344091	0.5620873815
123	0.7116227895	0.5618153675
124	0.7121649419	0.5614401119
125	0.7123403441	0.5610281985
126	0.7135681597	0.5607749893
127	0.714716247	0.5601962082
128	0.7152424537	0.5598131122
129	0.7162629758	0.5594260545
130	0.716948639	0.5590106362
131	0.7167732368	0.5585892555
132	0.7193564333	0.558081823
133	0.7186867157	0.5575720894
134	0.7191172484	0.5572001819
135	0.7202493901	0.5569093343
136	0.7200261509	0.5566319242
137	0.7196434551	0.5564437881
138	0.7201377705	0.5560107756
139	0.71867077	0.5555071083
140	0.7196115638	0.5550025856
141	0.7200899335	0.5546995244
142	0.7200261509	0.5544086206
143	0.7202972271	0.5539848292
144	0.7209669447	0.5535371857
145	0.7213336948	0.5532340724
146	0.7215888253	0.5528568298
147	0.7222107059	0.5524718935
148	0.7223542168	0.5521409273
149	0.7231514997	0.5516960812
150	0.7237733803	0.5512155784
151	0.7242836414	0.5507923188
152	0.7233747389	0.5504373115
153	0.723693652	0.549900875
154	0.7248417394	0.5496144685
155	0.7252563264	0.5493255961
156	0.7260057723	0.5488828591
