iter	Recall	Logloss
0	0.5969097316	0.6801526988
1	0.6345733739	0.6690938141
2	0.631591536	0.660585481
3	0.6341906782	0.6533561233
4	0.6249103057	0.6469636359
5	0.6294867093	0.6418795871
6	0.6664168514	0.6373796476
7	0.669924896	0.6335933038
8	0.6473777367	0.6304035413
9	0.647313954	0.6275955737
10	0.6535327604	0.6250571138
11	0.6531022276	0.6229753515
12	0.6546011194	0.6210960056
13	0.65801349	0.6194565529
14	0.6558608263	0.6179188577
15	0.6581570009	0.6162721778
16	0.6591615773	0.6150431151
17	0.6635785244	0.6136090403
18	0.6650455249	0.6123810505
19	0.6655238946	0.6112622793
20	0.6651093075	0.6101596383
21	0.6656036229	0.6089733405
22	0.6674533191	0.6079133224
23	0.6677562866	0.6070352638
24	0.6665125253	0.6062336742
25	0.6690478848	0.6052407528
26	0.6688565369	0.6043034355
27	0.6686014064	0.6035241006
28	0.6688405913	0.6028234323
29	0.6706902875	0.6020513098
30	0.6710251463	0.6014591907
31	0.6701481352	0.6008864493
32	0.6726037664	0.6002140834
33	0.6728907882	0.5995350938
34	0.674294006	0.5988409486
35	0.6738634733	0.5983652261
36	0.6739591472	0.5979811985
37	0.6730821361	0.5974150463
38	0.6738794189	0.5969315177
39	0.6747564301	0.5962909752
40	0.6764307241	0.5957414168
41	0.6765582893	0.59517367
42	0.6769250395	0.5947020445
43	0.6782644747	0.5941991528
44	0.6788863553	0.5937216433
45	0.678200692	0.5931332226
46	0.6795401272	0.5923949752
47	0.6787109531	0.5918108823
48	0.6794285076	0.5912193253
49	0.6786152791	0.5907964487
50	0.6799866056	0.5902320061
51	0.6809911821	0.5898284682
52	0.6820914324	0.5892625321
53	0.6827452043	0.5889592647
54	0.6842759874	0.5883812416
55	0.6838454547	0.587762775
56	0.6850094877	0.5873513323
57	0.6854719117	0.5869115775
58	0.6858386618	0.5864727997
59	0.6861416293	0.5860905525
60	0.6854081291	0.5855245241
61	0.686061901	0.5851613022
62	0.6876724124	0.5846004265
63	0.6877521407	0.5842291397
64	0.688437804	0.5837991801
65	0.6885494236	0.5832745512
66	0.6908296525	0.5826193698
67	0.6907499243	0.5822167064
68	0.691690718	0.581703076
69	0.6924880009	0.5812895699
70	0.6929344793	0.5808924916
71	0.6915950441	0.580519343
72	0.692902588	0.5801292754
73	0.6935882512	0.5798677856
74	0.6933331207	0.5795486145
75	0.6926634031	0.5791826406
