iter	Passed	Remaining
0	22	11299
1	45	11410
2	81	13520
3	103	12806
4	120	11945
5	141	11653
6	162	11467
7	181	11150
8	205	11218
9	229	11232
10	248	11064
11	267	10877
12	291	10926
13	312	10832
14	330	10690
15	351	10625
16	376	10690
17	396	10605
18	421	10671
19	442	10619
20	463	10561
21	482	10488
22	503	10451
23	528	10478
24	552	10497
25	572	10445
26	594	10411
27	617	10410
28	641	10413
29	665	10421
30	692	10472
31	715	10463
32	739	10462
33	758	10397
34	778	10348
35	804	10364
36	827	10360
37	847	10305
38	869	10282
39	889	10233
40	914	10234
41	939	10246
42	966	10270
43	986	10226
44	1011	10222
45	1036	10224
46	1056	10183
47	1083	10206
48	1103	10160
49	1126	10141
50	1147	10102
51	1167	10054
52	1193	10069
53	1214	10031
54	1242	10053
55	1264	10026
56	1287	10007
57	1311	9993
58	1335	9984
59	1361	9983
60	1384	9967
61	1410	9962
62	1435	9954
63	1458	9937
64	1480	9905
65	1503	9884
66	1525	9859
67	1552	9860
68	1591	9942
69	1611	9897
70	1630	9852
71	1655	9842
72	1678	9817
73	1697	9771
74	1715	9723
75	1738	9700
76	1760	9670
77	1783	9646
78	1805	9621
79	1828	9601
80	1849	9564
81	1874	9556
82	1893	9514
83	1912	9472
84	1930	9425
85	1953	9403
86	1978	9391
87	1997	9350
88	2019	9325
89	2042	9302
90	2061	9265
91	2084	9245
92	2105	9214
93	2127	9189
94	2147	9154
95	2169	9130
96	2191	9103
97	2209	9063
98	2229	9032
99	2250	9003
100	2273	8981
101	2299	8974
102	2319	8941
103	2338	8904
104	2359	8874
105	2379	8844
106	2400	8815
107	2424	8798
108	2446	8776
109	2465	8741
110	2485	8711
111	2508	8690
112	2533	8675
113	2556	8657
114	2581	8642
115	2607	8633
116	2631	8615
117	2651	8584
118	2671	8552
119	2690	8519
120	2716	8508
121	2735	8475
122	2754	8441
123	2779	8426
124	2801	8405
125	2825	8387
126	2846	8359
127	2865	8328
128	2885	8298
129	2906	8271
130	2933	8263
131	2953	8233
132	2972	8201
133	2994	8178
134	3018	8160
135	3040	8136
136	3067	8128
137	3088	8101
138	3111	8080
139	3132	8055
140	3151	8024
141	3174	8004
142	3195	7977
143	3214	7947
144	3237	7925
145	3260	7905
146	3279	7875
147	3299	7847
148	3325	7833
149	3347	7810
150	3367	7782
151	3389	7760
152	3413	7740
153	3439	7728
154	3460	7701
155	3479	7672
156	3498	7642
157	3517	7613
158	3540	7594
159	3563	7572
160	3587	7553
161	3608	7528
162	3628	7502
163	3655	7488
164	3675	7463
165	3695	7434
166	3720	7418
167	3744	7399
168	3763	7370
169	3784	7347
170	3805	7321
171	3827	7299
172	3857	7290
173	3876	7263
174	3896	7236
175	3917	7212
176	3939	7188
177	3962	7168
178	3986	7149
179	4005	7121
180	4025	7095
181	4046	7071
182	4074	7058
183	4093	7030
184	4113	7004
185	4136	6982
186	4158	6959
187	4183	6943
188	4204	6917
189	4222	6889
190	4241	6862
191	4261	6836
192	4288	6821
193	4307	6794
194	4333	6778
195	4352	6751
196	4375	6729
197	4397	6707
198	4419	6684
199	4440	6661
200	4461	6637
201	4483	6614
202	4504	6590
203	4523	6563
204	4545	6541
205	4567	6518
206	4595	6505
207	4617	6481
208	4638	6458
209	4659	6433
210	4680	6410
211	4704	6390
212	4725	6367
213	4745	6342
214	4765	6317
215	4787	6295
216	4813	6277
217	4834	6253
218	4856	6231
219	4878	6209
220	4902	6189
221	4922	6164
222	4945	6143
223	4965	6118
224	4984	6092
225	5005	6068
226	5029	6049
227	5049	6023
228	5071	6001
229	5095	5981
230	5119	5961
231	5142	5940
232	5162	5915
233	5182	5891
234	5204	5869
235	5231	5851
236	5254	5831
237	5275	5807
238	5294	5782
239	5315	5757
240	5341	5740
241	5360	5714
242	5379	5689
243	5400	5665
244	5422	5643
245	5445	5622
246	5466	5599
247	5488	5576
248	5507	5551
249	5526	5526
250	5549	5505
251	5571	5482
252	5592	5459
253	5611	5434
254	5635	5414
255	5659	5393
256	5682	5372
257	5705	5351
258	5727	5328
259	5749	5306
260	5772	5285
261	5791	5261
262	5810	5236
263	5833	5214
264	5854	5191
265	5909	5198
266	6002	5237
267	6043	5231
268	6076	5218
269	6100	5197
270	6120	5171
271	6139	5146
272	6159	5121
273	6179	5097
274	6201	5074
275	6225	5052
276	6247	5029
277	6267	5005
278	6291	4983
279	6310	4958
280	6330	4933
281	6353	4911
282	6379	4891
283	6400	4868
284	6419	4842
285	6438	4817
286	6460	4795
287	6479	4769
288	6504	4748
289	6526	4725
290	6546	4702
291	6565	4677
292	6585	4652
293	6613	4634
294	6632	4608
295	6653	4585
296	6676	4563
297	6697	4539
298	6720	4517
299	6742	4494
300	6762	4470
301	6781	4446
302	6805	4424
303	6828	4402
304	6847	4377
305	6868	4354
306	6889	4331
307	6910	4308
308	6935	4287
309	6960	4266
310	6980	4242
311	7001	4218
312	7022	4195
313	7045	4173
314	7065	4149
315	7085	4125
316	7112	4105
317	7139	4085
318	7159	4062
319	7178	4037
320	7198	4013
321	7220	3991
322	7245	3970
