iter	Passed	Remaining
0	21	10866
1	44	11070
2	65	10890
3	88	10979
4	107	10631
5	129	10690
6	148	10482
7	167	10327
8	188	10301
9	212	10436
10	236	10520
11	259	10559
12	279	10454
13	298	10360
14	320	10369
15	342	10367
16	365	10396
17	387	10380
18	406	10300
19	426	10233
20	452	10325
21	472	10271
22	493	10230
23	519	10298
24	539	10245
25	562	10260
26	587	10299
27	607	10242
28	629	10231
29	655	10273
30	675	10215
31	697	10196
32	717	10159
33	737	10109
34	763	10139
35	788	10166
36	808	10122
37	833	10132
38	852	10076
39	876	10076
40	896	10039
41	919	10031
42	941	10001
43	964	9997
44	997	10081
45	1016	10031
46	1036	9988
47	1054	9933
48	1081	9955
49	1103	9930
50	1127	9928
51	1148	9895
52	1169	9860
53	1193	9854
54	1218	9859
55	1240	9834
56	1260	9799
57	1284	9786
58	1304	9748
59	1326	9724
60	1352	9736
61	1381	9759
62	1410	9784
63	1429	9738
64	1449	9702
65	1472	9679
66	1494	9657
67	1523	9675
68	1543	9642
69	1563	9606
70	1585	9581
71	1606	9548
72	1626	9511
73	1650	9501
74	1671	9472
75	1696	9462
76	1717	9437
77	1737	9402
78	1757	9365
79	1778	9334
80	1802	9322
81	1822	9292
82	1845	9273
83	1869	9259
84	1888	9221
85	1918	9233
86	1938	9203
87	1963	9194
88	1983	9160
89	2006	9139
90	2029	9122
91	2052	9101
92	2074	9078
93	2098	9063
94	2122	9048
95	2144	9025
96	2166	9001
97	2185	8965
98	2212	8962
99	2234	8936
100	2255	8910
101	2278	8891
102	2300	8865
103	2320	8836
104	2347	8832
105	2367	8799
106	2389	8775
107	2412	8757
108	2436	8740
109	2458	8715
110	2478	8684
111	2499	8659
112	2519	8627
113	2541	8606
114	2564	8586
115	2583	8552
116	2605	8529
117	2627	8507
118	2652	8493
119	2671	8461
120	2692	8435
121	2716	8415
122	2738	8394
123	2764	8381
124	2784	8353
125	2807	8334
126	2827	8303
127	2848	8277
128	2875	8270
129	2894	8238
130	2914	8210
131	2938	8192
132	2962	8174
133	2981	8143
134	3003	8121
135	3025	8097
136	3045	8070
137	3070	8054
138	3090	8027
139	3110	7997
140	3133	7977
141	3154	7954
142	3179	7937
143	3203	7920
144	3224	7894
145	3244	7867
146	3269	7850
147	3291	7827
148	3310	7798
149	3332	7775
150	3354	7754
151	3376	7731
152	3402	7716
153	3422	7688
154	3442	7662
155	3463	7636
156	3485	7615
157	3509	7595
158	3532	7575
159	3554	7552
160	3572	7522
161	3595	7502
162	3617	7479
163	3640	7458
164	3666	7444
165	3686	7417
166	3711	7400
167	3733	7377
168	3753	7352
169	3773	7325
170	3800	7311
171	3821	7287
172	3843	7265
173	3864	7239
174	3885	7215
175	3910	7199
176	3934	7179
177	3954	7152
178	3974	7128
179	3996	7105
180	4020	7085
181	4043	7065
182	4063	7039
183	4086	7017
184	4106	6992
185	4130	6972
186	4150	6946
187	4170	6921
188	4193	6900
189	4214	6875
190	4241	6861
191	4262	6837
192	4281	6810
193	4301	6785
194	4324	6764
195	4396	6818
196	4469	6873
197	4508	6876
198	4553	6887
199	4578	6868
200	4599	6841
201	4620	6816
202	4644	6795
203	4664	6768
204	4687	6746
205	4708	6720
206	4729	6693
207	4749	6667
208	4777	6651
209	4797	6625
210	4818	6600
211	4840	6576
212	4864	6553
213	4887	6532
214	4908	6506
215	4935	6489
216	4960	6469
217	4988	6453
218	5013	6433
219	5038	6412
220	5062	6391
221	5095	6381
222	5119	6359
223	5151	6347
224	5182	6333
225	5210	6317
226	5242	6304
227	5270	6287
228	5292	6262
229	5314	6239
230	5337	6215
231	5364	6196
232	5394	6181
233	5420	6161
234	5446	6141
235	5471	6120
236	5497	6100
237	5520	6077
238	5540	6050
239	5564	6028
240	5585	6003
241	5610	5981
242	5632	5957
243	5653	5931
244	5679	5911
245	5705	5891
246	5728	5867
247	5748	5840
248	5768	5814
249	5789	5789
250	5817	5770
251	5837	5744
252	5859	5720
253	5880	5695
254	5905	5673
255	5927	5649
256	5952	5627
257	5978	5607
258	5999	5582
259	6034	5570
260	6057	5546
261	6087	5529
262	6113	5509
263	6137	5486
264	6160	5462
265	6181	5438
266	6202	5412
267	6227	5391
268	6252	5368
269	6275	5345
270	6296	5320
271	6317	5295
272	6343	5274
273	6364	5249
274	6385	5224
275	6410	5202
276	6431	5177
277	6459	5158
278	6480	5133
279	6502	5109
280	6525	5085
281	6550	5063
282	6573	5040
283	6595	5016
284	6615	4990
285	6639	4967
286	6660	4943
287	6686	4922
288	6707	4897
289	6729	4873
290	6749	4847
291	6775	4826
292	6794	4800
293	6816	4776
294	6840	4753
295	6861	4728
296	6888	4708
297	6908	4682
298	6928	4657
299	6950	4633
300	6973	4610
301	6997	4587
302	7019	4563
303	7038	4538
304	7067	4518
305	7091	4496
306	7115	4473
307	7136	4448
308	7164	4428
309	7193	4409
310	7215	4384
311	7239	4361
312	7260	4338
313	7288	4317
314	7310	4293
315	7330	4268
316	7350	4243
317	7372	4219
318	7395	4196
319	7415	4171
320	7443	4150
321	7462	4125
322	7487	4102
323	7510	4079
324	7532	4055
325	7553	4031
326	7578	4009
327	7604	3987
328	7625	3963
329	7647	3939
330	7669	3915
331	7695	3893
332	7717	3870
333	7744	3848
334	7764	3824
335	7788	3801
336	7812	3778
337	7834	3755
338	7856	3731
339	7879	3708
340	7904	3685
341	7926	3662
342	7946	3637
343	7971	3615
344	7994	3591
345	8013	3566
346	8037	3543
347	8057	3519
348	8084	3497
349	8106	3474
350	8132	3452
351	8154	3428
352	8175	3404
353	8198	3381
354	8223	3358
355	8250	3337
356	8270	3312
357	8290	3288
358	8312	3264
359	8335	3241
360	8372	3223
361	8395	3200
362	8422	3178
363	8444	3154
364	8464	3130
365	8483	3106
366	8504	3081
367	8535	3061
368	8565	3041
369	8593	3019
370	8619	2997
371	8645	2974
372	8667	2951
373	8695	2929
374	8723	2907
375	8748	2885
376	8774	2862
377	8808	2842
378	8841	2822
379	8866	2799
380	8894	2778
381	8919	2755
382	8941	2731
383	8972	2710
384	8997	2687
385	9026	2665
386	9060	2645
387	9088	2623
388	9115	2601
389	9144	2579
390	9174	2557
391	9199	2534
392	9226	2511
393	9255	2490
394	9283	2467
395	9310	2445
396	9335	2422
397	9360	2398
398	9389	2376
399	9414	2353
400	9440	2330
401	9463	2307
402	9495	2285
403	9519	2262
404	9551	2240
405	9576	2217
406	9602	2194
407	9622	2169
408	9644	2145
409	9667	2122
410	9689	2098
411	9714	2074
412	9735	2050
413	9755	2026
414	9775	2002
415	9804	1979
416	9826	1955
417	9849	1932
418	9875	1909
419	9898	1885
420	9920	1861
421	9940	1837
422	9963	1813
423	9984	1789
424	10009	1766
425	10035	1743
426	10056	1719
427	10080	1695
428	10100	1671
429	10126	1648
430	10148	1624
431	10172	1601
432	10193	1577
433	10217	1553
434	10238	1529
435	10261	1506
436	10282	1482
437	10303	1458
438	10331	1435
439	10351	1411
440	10377	1388
441	10397	1364
442	10418	1340
443	10446	1317
444	10471	1294
445	10494	1270
446	10515	1246
447	10541	1223
448	10562	1199
449	10583	1175
450	10606	1152
451	10629	1128
452	10654	1105
453	10677	1081
454	10696	1057
455	10718	1034
456	10741	1010
457	10766	987
458	10790	963
459	10811	940
460	10831	916
461	10857	893
462	10879	869
463	10899	845
464	10922	822
465	10949	798
466	10971	775
467	10992	751
468	11014	728
469	11038	704
470	11062	681
471	11087	657
472	11108	634
473	11131	610
474	11155	587
475	11178	563
476	11200	540
477	11222	516
478	11244	492
479	11271	469
480	11297	446
481	11321	422
482	11341	399
483	11363	375
484	11389	352
485	11409	328
486	11437	305
487	11457	281
488	11481	258
489	11502	234
490	11523	211
491	11545	187
492	11567	164
493	11593	140
494	11617	117
495	11641	93
496	11666	70
497	11692	46
498	11714	23
499	11737	0
