iter	Recall	Logloss
0	0.5888637306	0.6798584548
1	0.6156679529	0.6690002753
2	0.6514494371	0.6602736668
3	0.6392671493	0.6531216269
4	0.6549893166	0.6467088714
5	0.6677934751	0.6411961975
6	0.665018975	0.6367717384
7	0.6571100552	0.6331360704
8	0.647287687	0.6299901503
9	0.6530758682	0.6270205099
10	0.6548139171	0.624646284
11	0.6589756673	0.62252989
12	0.6571260006	0.620598432
13	0.6562011672	0.618935725
14	0.6602512996	0.6172818004
15	0.6593743024	0.6159242183
16	0.6633606531	0.6145602797
17	0.6651624837	0.6132813416
18	0.6622125841	0.612133037
19	0.6641579233	0.6109767429
20	0.6639027968	0.6099525972
21	0.6640781963	0.6089453887
22	0.6664221705	0.6080688373
23	0.6680486016	0.6070407934
24	0.6699779953	0.606038659
25	0.6699779953	0.6052846975
26	0.6705998661	0.6044763882
27	0.6709506649	0.60379957
28	0.6715246994	0.603205648
29	0.6719552253	0.6024906151
30	0.6709666103	0.6019965365
31	0.673406257	0.6013053092
32	0.6728481679	0.6007157523
33	0.6734381478	0.6002607121
34	0.6725452052	0.5996429228
35	0.6738846191	0.5990000158
36	0.6754951048	0.598583738
37	0.6757502312	0.5978916583
38	0.6761169755	0.5973119035
39	0.6768345186	0.5967572695
40	0.6764837197	0.5963907327
41	0.676930191	0.5958978008
42	0.6783014957	0.5953687517
43	0.6778071882	0.5948718985
44	0.6779666422	0.5941881631
45	0.6794495647	0.593704235
46	0.6801671078	0.5932013685
47	0.6809803234	0.5928210954
48	0.6814267947	0.5923851351
49	0.6810600504	0.5916692603
50	0.6814267947	0.5911601665
51	0.6822400102	0.5905025925
52	0.6827662085	0.5900159059
53	0.6838504959	0.5895771816
54	0.6843926396	0.5890372061
55	0.6839621137	0.5884988433
56	0.6836113149	0.5879836624
57	0.6838504959	0.5875676894
58	0.6848710017	0.5871124844
59	0.686624996	0.5866905839
60	0.685716108	0.5864002559
61	0.684647766	0.5859638691
62	0.6858117805	0.5854784145
63	0.6855247632	0.5850061788
64	0.6879484645	0.5842502115
65	0.6900054214	0.5836947982
66	0.690978091	0.5831779076
67	0.69073891	0.5828140233
68	0.6903881111	0.5823429363
69	0.689909749	0.5819518687
70	0.6906751284	0.5816562827
71	0.6896546226	0.5813758281
72	0.6901808209	0.5810223699
73	0.6901329847	0.5806131234
74	0.6902924387	0.5803645747
75	0.6912172721	0.5800071666
76	0.6921102146	0.579685257
77	0.6918710336	0.5791884656
78	0.6919507606	0.5788389645
79	0.6924769589	0.5781955441
80	0.6913129445	0.5778244272
81	0.6924450681	0.5774854704
82	0.6930988296	0.5770389207
83	0.695251459	0.5766963924
84	0.695171732	0.5764049541
85	0.6957936027	0.5759203027
86	0.696399528	0.5754275697
87	0.6962560194	0.5750304431
88	0.6969735625	0.5746583013
89	0.6974200338	0.5742104913
90	0.6972605798	0.5739485103
91	0.6976911057	0.5737668884
92	0.6979462321	0.5735131735
93	0.6980259591	0.5730244642
94	0.6981854131	0.5727039649
95	0.6984086488	0.5723032721
96	0.6982651402	0.5719148355
97	0.6993015914	0.5716422639
98	0.6997161718	0.5712331233
99	0.7001307523	0.5708786927
100	0.7000191345	0.5705713867
101	0.7010555857	0.5701592448
102	0.7014382753	0.5698355945
103	0.7025544536	0.5693509592
104	0.7033517237	0.5689500278
105	0.7026022898	0.5686813437
106	0.7038300858	0.5683504238
107	0.7044360111	0.56809467
108	0.7055202985	0.5675618799
109	0.7054724623	0.5673265367
110	0.7059508244	0.5669037733
111	0.7059986606	0.5665497761
112	0.706253787	0.5662838646
113	0.7066843129	0.5657926852
114	0.7066683675	0.5655503729
115	0.7066205313	0.565261031
116	0.7064132411	0.5650289411
117	0.7064451319	0.5646305347
118	0.7077845457	0.564213902
119	0.7082947986	0.5640799656
120	0.7087412699	0.5635506018
121	0.7093471952	0.563217143
122	0.7107822815	0.5627509629
123	0.7107503907	0.5624119043
124	0.7115795516	0.5619923516
125	0.7119941321	0.5614717618
126	0.7119941321	0.5611772085
127	0.7121854769	0.5606794304
128	0.7121376407	0.5603746992
129	0.7124087126	0.5601275752
130	0.7119303505	0.5598154072
131	0.712424658	0.5594454255
132	0.7122173677	0.5590605237
133	0.7127754568	0.5588328708
134	0.7127914022	0.5585921655
135	0.7136843448	0.5582963831
136	0.7134292184	0.5579369707
137	0.7136683994	0.5575676781
138	0.7141786523	0.5572427124
139	0.7146570144	0.5569667763
140	0.7145932328	0.5566324359
141	0.7152310489	0.5562557081
142	0.7159007558	0.5557522521
143	0.7161399369	0.5554598523
144	0.7160442644	0.5550213555
